Index,Region,Subregion,Stage,Confirmed,Deaths,Recovered,Stage_Confirmed,Stage_Deaths,Stage_Recovered,Stage_Treated%,Stage_Deaths%,Stage_Recovered%,Stage_Treated,Recovered_Change
2,Monaco,,2020-02-29,1,0,0,1,0,0,0.0,,,0,
3,Monaco,,2020-03-31,52,1,2,52,1,2,0.057692307692307696,0.3333333333333333,0.6666666666666666,3,
4,Monaco,,2020-04-30,95,4,64,92,3,62,0.7065217391304348,0.046153846153846156,0.9538461538461539,65,0.28717948717948727
5,Monaco,,2020-05-31,99,4,90,31,0,26,0.8387096774193549,0.0,1.0,26,0.0461538461538461
6,Monaco,,2020-06-30,103,4,95,9,0,5,0.5555555555555556,0.0,1.0,5,0.0
7,Monaco,,2020-07-31,120,4,105,21,0,10,0.47619047619047616,0.0,1.0,10,0.0
8,Monaco,,2020-08-31,154,4,116,45,0,11,0.24444444444444444,0.0,1.0,11,0.0
9,Monaco,,2020-09-30,218,2,181,98,-2,65,0.6428571428571429,-0.031746031746031744,1.0317460317460319,63,0.031746031746031855
10,Monaco,,2020-10-31,359,2,273,176,0,92,0.5227272727272727,0.0,1.0,92,-0.031746031746031855
11,Monaco,,2020-11-30,609,3,556,334,1,283,0.8502994011976048,0.0035211267605633804,0.9964788732394366,284,-0.0035211267605633756
12,Monaco,,2020-12-31,875,3,708,316,0,152,0.4810126582278481,0.0,1.0,152,0.0035211267605633756
13,Monaco,,2021-01-18,1212,7,1013,501,4,305,0.6167664670658682,0.012944983818770227,0.9870550161812298,309,-0.012944983818770184
